======================================================================
IPTV 酒店源流量测试报告 (2026-03-28 07:21:32)
======================================================================
服务器 (IP:Port)             | 频道名称                 | 平均码率       | 稳定性
----------------------------------------------------------------------
1.197.252.107:9901        | 安徽卫视                 | 0.81   Mbps | 100%
1.197.252.107:9901        | CCTV1-综合             | 1.43   Mbps | 100%
1.197.252.107:9901        | 云南卫视                 | 0.66   Mbps | 100%
1.198.30.111:9901         | 天津卫视                 | 5.98   Mbps | 3%
1.198.30.111:9901         | CCTV5-体育             | 6.58   Mbps | 56%
1.198.30.111:9901         | 山东卫视                 | 7.01   Mbps | 68%
101.18.30.205:808         | 东方卫视高清               | 0.62   Mbps | 100%
101.18.30.205:808         | 河北影视剧高清              | 0.55   Mbps | 100%
101.18.30.205:808         | 山东教育                 | 0.84   Mbps | 30%
106.115.25.184:9901       | 东南卫视                 | 0.4    Mbps | 100%
106.115.25.184:9901       | CCTV-17              | 0.12   Mbps | 100%
106.115.27.168:9901       | CCTV-2               | 3.93   Mbps | 98%
106.115.27.168:9901       | CCTV-9               | 2.44   Mbps | 0%
106.115.27.148:9901       | 广西卫视                 | 5.29   Mbps | 0%
106.115.27.148:9901       | 江西卫视                 | 3.48   Mbps | 0%
106.115.27.148:9901       | 内蒙古卫视                | 1.37   Mbps | 0%
110.53.218.182:9002       | CCTV15-音乐            | 0.06   Mbps | 100%
110.53.218.182:9002       | 江西卫视                 | 0.06   Mbps | 100%
110.53.218.182:9002       | 重庆卫视                 | 0.06   Mbps | 100%
106.115.27.249:9901       | CCTV-9               | 0.22   Mbps | 100%
106.115.27.249:9901       | CCTV-11              | 0.31   Mbps | 100%
106.115.27.249:9901       | CCTV-8               | 0.3    Mbps | 100%
112.123.243.37:50085      | 江西卫视                 | 2.51   Mbps | 0%
112.123.243.37:50085      | 吉林卫视                 | 2.16   Mbps | 0%
112.123.243.37:50085      | 安徽卫视                 | 4.84   Mbps | 0%
112.132.10.54:9901        | 临泉一台                 | 2.89   Mbps | 0%
112.132.10.54:9901        | 安徽影视                 | 3.84   Mbps | 81%
112.132.10.54:9901        | CCTV8-电视剧            | 3.61   Mbps | 0%
111.221.137.234:44330     | 海南卫视                 | 0.88   Mbps | 100%
111.221.137.234:44330     | CCTV-5+ 体育赛事         | 0.54   Mbps | 100%
111.221.137.234:44330     | 河南卫视                 | 0.53   Mbps | 100%
112.27.145.212:9902       | *CCTV-6电影            | 4.49   Mbps | 0%
112.27.145.212:9902       | *CCTV-5体育            | 8.48   Mbps | 30%
112.27.145.212:9902       | *CCTV-3综艺            | 6.7    Mbps | 51%
112.30.73.119:9901        | sCCTV14-少儿           | 2.05   Mbps | 52%
112.30.73.119:9901        | sCCTV8-电视剧           | 2.09   Mbps | 50%
112.30.73.119:9901        | sCCTV10-科教           | 2.0    Mbps | 13%
112.99.195.122:65000      | 宁夏卫视                 | 1.62   Mbps | 7%
112.99.195.122:65000      | 四川卫视                 | 1.48   Mbps | 100%
112.99.195.122:65000      | 黑龙江公共                | 1.86   Mbps | 0%
113.141.220.55:9901       | CCTV6-电影             | 5.31   Mbps | 94%
113.141.220.55:9901       | CCTV11-戏曲            | 4.36   Mbps | 75%
113.141.220.55:9901       | 东南卫视                 | 2.17   Mbps | 48%
113.15.109.216:59901      | CCTV-13新闻            | 1.26   Mbps | 0%
113.15.109.216:59901      | 四川卫视                 | 3.27   Mbps | 92%
113.15.109.216:59901      | CGTN                 | 3.37   Mbps | 91%
113.25.252.226:9901       | 四川卫视                 | 0.28   Mbps | 100%
113.25.252.226:9901       | CCTV10-科教            | 0.12   Mbps | 100%
113.26.202.52:1299        | CCTV8-电视剧            | 0.47   Mbps | 100%
113.26.202.52:1299        | 吉林卫视                 | 0.23   Mbps | 100%
113.26.202.52:1299        | 重庆卫视                 | 0.43   Mbps | 100%
113.57.20.185:1111        | CCTV-5体育HD           | 0.03   Mbps | 100%
113.57.20.185:1111        | CCTV-7国防军事HD         | 0.03   Mbps | 100%
113.57.20.185:1111        | CCTV-12社会与法HD        | 0.03   Mbps | 100%
115.48.160.116:9901       | 广东卫视                 | 0.52   Mbps | 100%
115.48.160.116:9901       | 湖南卫视                 | 0.91   Mbps | 100%
115.48.160.116:9901       | CCTV9-纪录             | 1.84   Mbps | 100%
119.39.9.8:9901           | 天津卫视                 | 1.91   Mbps | 0%
119.39.9.8:9901           | 浙江卫视                 | 3.02   Mbps | 0%
119.39.9.8:9901           | 深圳卫视                 | 2.77   Mbps | 0%
116.77.33.98:44330        | 深圳电视剧                | 1.29   Mbps | 100%
116.77.33.98:44330        | CCTV7-军农             | 0.7    Mbps | 100%
116.77.33.98:44330        | 翡翠台                  | 0.54   Mbps | 100%
120.196.235.42:9901       | 广东公共                 | 0.22   Mbps | 100%
120.196.235.42:9901       | CCTV5高清              | 0.22   Mbps | 100%
120.196.235.42:9901       | 揭阳综合                 | 0.11   Mbps | 100%
120.198.95.220:9901       | 陕西卫视                 | 3.13   Mbps | 0%
120.198.95.220:9901       | CCTV-1               | 1.59   Mbps | 66%
120.198.95.220:9901       | CCTV-9高清             | 2.74   Mbps | 0%
120.202.94.181:9446       | CCTV6-电影             | 0.62   Mbps | 100%
120.202.94.181:9446       | CCTV10-科教            | 1.85   Mbps | 100%
120.202.94.181:9446       | CCTV4-国际             | 1.76   Mbps | 100%
120.70.60.179:9901        | Новое телевидение    | 2.58   Mbps | 0%
120.70.60.179:9901        | Manas TV             | 2.0    Mbps | 45%
120.70.60.179:9901        | Хабар                | 3.52   Mbps | 0%
121.19.134.142:808        | CCTV3综艺高清            | 0.07   Mbps | 100%
121.19.134.142:808        | 保定新闻综合               | 0.06   Mbps | 100%
121.19.134.142:808        | 山东卫视高清               | 0.06   Mbps | 100%
121.19.134.146:808        | CCTV8-电视剧            | 0.31   Mbps | 100%
121.19.134.146:808        | 金鹰卡通                 | 0.3    Mbps | 100%
121.19.134.146:808        | 东方卫视高清               | 0.2    Mbps | 100%
120.27.63.14:30006        | 辽宁卫视                 | 0.49   Mbps | 100%
